scenario,scheduler,cluster,arrival_rate,failure_rate,controller,seed,n_dags,mean_makespan,mean_imbalance,mean_locality,throughput,n_failures,n_adaptations,wall_seconds
A_compare,HEFT-LC,homogeneous,0.05,0.0,off,1,29,25.409069969915883,0.014529122412898589,0.5677194931505277,0.04833333333333333,0,0,0.019474267959594727
A_compare,HEFT-LC,homogeneous,0.05,0.0,off,2,24,31.649958791887567,0.0114959707999727,0.5952448593073593,0.04,0,0,0.015903472900390625
A_compare,HEFT-LC,homogeneous,0.05,0.0,off,3,34,25.756434107509794,0.011335966698780703,0.6212605613340907,0.056666666666666664,0,0,0.02176833152770996
A_compare,HEFT-LC,homogeneous,0.1,0.0,off,1,65,26.325140347536564,0.009515770987335815,0.5972474534012995,0.10833333333333334,0,0,0.050357818603515625
A_compare,HEFT-LC,homogeneous,0.1,0.0,off,2,55,29.187128513187385,0.008491560167442073,0.5830013420922512,0.09166666666666666,0,0,0.03391885757446289
A_compare,HEFT-LC,homogeneous,0.1,0.0,off,3,63,26.42639278170817,0.00803783987404868,0.6117299587537683,0.105,0,0,0.04360651969909668
A_compare,HEFT-LC,homogeneous,0.2,0.0,off,1,126,27.51229892026473,0.005752934084701471,0.5774517920351254,0.21,0,0,0.08844637870788574
A_compare,HEFT-LC,homogeneous,0.2,0.0,off,2,113,27.95604153679494,0.005646835747019434,0.5787709463594419,0.18833333333333332,0,0,0.07136082649230957
A_compare,HEFT-LC,homogeneous,0.2,0.0,off,3,120,27.79308098864186,0.005191336383166975,0.5922696285196285,0.2,0,0,0.08262276649475098
A_compare,DLS,homogeneous,0.05,0.0,off,1,29,21.882572256944446,0.025308710199121173,0.7280927405927405,0.04833333333333333,0,0,0.017955541610717773
A_compare,DLS,homogeneous,0.05,0.0,off,2,24,26.5363616319796,0.02000553959625039,0.7416614057239057,0.04,0,0,0.015960216522216797
A_compare,DLS,homogeneous,0.05,0.0,off,3,34,21.558120050370416,0.019713981001791562,0.7164725797078738,0.056666666666666664,0,0,0.021224498748779297
A_compare,DLS,homogeneous,0.1,0.0,off,1,65,23.24087946518182,0.015395501793422276,0.7322936465244158,0.10833333333333334,0,0,0.040229082107543945
A_compare,DLS,homogeneous,0.1,0.0,off,2,55,26.36063368551625,0.017152999488818134,0.7336639623003259,0.09166666666666666,0,0,0.0480196475982666
A_compare,DLS,homogeneous,0.1,0.0,off,3,63,23.066680651991973,0.013686918866066222,0.7196407648788601,0.105,0,0,0.041257381439208984
A_compare,DLS,homogeneous,0.2,0.0,off,1,126,25.07083899256712,0.00964119899856031,0.7464572794929938,0.21,0,0,0.08252978324890137
A_compare,DLS,homogeneous,0.2,0.0,off,2,113,24.62167572622667,0.011160683753931542,0.7334022540880948,0.18833333333333332,0,0,0.06971478462219238
A_compare,DLS,homogeneous,0.2,0.0,off,3,120,23.995184038020586,0.00875658975304645,0.7280157573907574,0.2,0,0,0.0743398666381836
A_compare,RL,homogeneous,0.05,0.0,off,1,29,49.05277389908203,0.0548935004941197,0.5520720180202938,0.04833333333333333,0,0,0.024588823318481445
A_compare,RL,homogeneous,0.05,0.0,off,2,24,51.87670568819189,0.07137169609759979,0.58127405002405,0.04,0,0,0.01774430274963379
A_compare,RL,homogeneous,0.05,0.0,off,3,34,48.19334011891348,0.043162267498089976,0.5644874733110027,0.056666666666666664,0,0,0.03222465515136719
A_compare,RL,homogeneous,0.1,0.0,off,1,65,44.87719220945619,0.031177480556845487,0.559657372541988,0.10833333333333334,0,0,0.06709575653076172
A_compare,RL,homogeneous,0.1,0.0,off,2,55,51.7283575162593,0.04459829821101707,0.5670073865528411,0.09166666666666666,0,0,0.044442176818847656
A_compare,RL,homogeneous,0.1,0.0,off,3,63,47.01273354883207,0.02869885301231021,0.5343470462518082,0.105,0,0,0.04822254180908203
A_compare,RL,homogeneous,0.2,0.0,off,1,126,47.77768947282336,0.018575428029394603,0.5748658087943802,0.21,0,0,0.09976863861083984
A_compare,RL,homogeneous,0.2,0.0,off,2,113,47.52174844373187,0.02413323682430919,0.5395101457048359,0.18833333333333332,0,0,0.08794546127319336
A_compare,RL,homogeneous,0.2,0.0,off,3,120,49.909639567337734,0.017675260289828677,0.5404976736226736,0.2,0,0,0.10148763656616211
A_compare,HEFT-LC,cpu_gpu,0.05,0.0,off,1,29,15.44232644481706,0.01647231259325734,0.6067602895189101,0.04833333333333333,0,0,0.020494699478149414
A_compare,HEFT-LC,cpu_gpu,0.05,0.0,off,2,24,18.790773065875122,0.008761545356534006,0.585218253968254,0.04,0,0,0.016868114471435547
A_compare,HEFT-LC,cpu_gpu,0.05,0.0,off,3,34,15.772470524679678,0.012614323117633223,0.6173463383022206,0.056666666666666664,0,0,0.02538132667541504
A_compare,HEFT-LC,cpu_gpu,0.1,0.0,off,1,65,14.15244766872589,0.014344589225594498,0.6446184157722619,0.10833333333333334,0,0,0.04178309440612793
A_compare,HEFT-LC,cpu_gpu,0.1,0.0,off,2,55,16.267115714679417,0.010050389422937877,0.6545537038718857,0.09166666666666666,0,0,0.032398223876953125
A_compare,HEFT-LC,cpu_gpu,0.1,0.0,off,3,63,15.453511952346913,0.016436820768773574,0.6477755709898567,0.105,0,0,0.045551300048828125
A_compare,HEFT-LC,cpu_gpu,0.2,0.0,off,1,126,15.890000656131104,0.010035384456561235,0.6136503377574807,0.21,0,0,0.08526945114135742
A_compare,HEFT-LC,cpu_gpu,0.2,0.0,off,2,113,15.613487977351937,0.008668928704901359,0.6271611746169269,0.18833333333333332,0,0,0.07719659805297852
A_compare,HEFT-LC,cpu_gpu,0.2,0.0,off,3,120,16.434992614459528,0.010102503414104923,0.625572032134532,0.2,0,0,0.08198142051696777
A_compare,DLS,cpu_gpu,0.05,0.0,off,1,29,9.51689755168336,0.15795320790277845,0.8198857655754208,0.04833333333333333,0,0,0.017501354217529297
A_compare,DLS,cpu_gpu,0.05,0.0,off,2,24,9.812303803583394,0.1539517304692866,0.8193061568061567,0.04,0,0,0.015951871871948242
A_compare,DLS,cpu_gpu,0.05,0.0,off,3,34,9.387182366582978,0.22850045986103662,0.825327287091993,0.056666666666666664,0,0,0.021265029907226562
A_compare,DLS,cpu_gpu,0.1,0.0,off,1,65,10.961860002444253,0.04943948744427466,0.763755944909791,0.10833333333333334,0,0,0.04518246650695801
A_compare,DLS,cpu_gpu,0.1,0.0,off,2,55,11.005527802690043,0.05935946481405603,0.7681295976750522,0.09166666666666666,0,0,0.03121185302734375
A_compare,DLS,cpu_gpu,0.1,0.0,off,3,63,10.427151963752543,0.08969461083249945,0.7601044678425631,0.105,0,0,0.03872036933898926
A_compare,DLS,cpu_gpu,0.2,0.0,off,1,126,13.644893281087429,0.02010441396801143,0.7352495057852201,0.21,0,0,0.08225226402282715
A_compare,DLS,cpu_gpu,0.2,0.0,off,2,113,13.412386788101212,0.023786984148782483,0.7163366377968148,0.18833333333333332,0,0,0.07024669647216797
A_compare,DLS,cpu_gpu,0.2,0.0,off,3,120,13.510611609522455,0.02632587850606854,0.7188974913974914,0.2,0,0,0.07765078544616699
A_compare,RL,cpu_gpu,0.05,0.0,off,1,29,31.65588878251629,0.05029595105448918,0.5464026395060878,0.04833333333333333,0,0,0.022887468338012695
A_compare,RL,cpu_gpu,0.05,0.0,off,2,24,37.083526612502716,0.06899350663107254,0.5745362854737854,0.04,0,0,0.02312302589416504
A_compare,RL,cpu_gpu,0.05,0.0,off,3,34,31.195981405636157,0.04006698737550315,0.5469374987757342,0.056666666666666664,0,0,0.02865147590637207
A_compare,RL,cpu_gpu,0.1,0.0,off,1,65,27.87787553587959,0.029376499223816042,0.5575863879710033,0.10833333333333334,0,0,0.053174734115600586
A_compare,RL,cpu_gpu,0.1,0.0,off,2,55,38.488490338983254,0.04214144031147079,0.5461884832339378,0.09166666666666666,0,0,0.04323625564575195
A_compare,RL,cpu_gpu,0.1,0.0,off,3,63,28.240089665716987,0.02690152716002818,0.5468218509885177,0.105,0,0,0.04995918273925781
A_compare,RL,cpu_gpu,0.2,0.0,off,1,126,25.30914046150784,0.01780497614336937,0.5714136282588663,0.21,0,0,0.10179328918457031
