cluster,scheduler,seed,arrival,phase,makespan,imbalance,epsilon,locality
skewed_8,HEFT,1,2.40485106849182,light,3.761340940373972,1.0141047234287697,0.0,0.75
skewed_8,HEFT,1,4.496035310399176,light,7.56227172595907,0.8142979036893236,0.0,0.5714285714285714
skewed_8,HEFT,1,30.405816514231837,light,2.225666936236067,0.8579462536826257,0.0,0.6
skewed_8,HEFT,1,45.99016289736639,light,3.0639629401158146,0.6876967824551543,0.0,0.6666666666666666
skewed_8,HEFT,1,67.29817910807603,light,2.365130599973014,0.5927431970402656,0.0,0.8461538461538461
skewed_8,HEFT,1,67.81597281579386,light,2.859313512544688,0.37812883967979866,0.0,0.6428571428571429
skewed_8,HEFT,1,87.14771312269748,light,5.59644892073139,0.3971845447683243,0.0,0.625
skewed_8,HEFT,1,91.32492174722579,light,2.3292526020860436,0.39097287103695627,0.0,0.7272727272727273
skewed_8,HEFT,1,98.39475426267819,light,3.2312173337287646,0.3810690168503812,0.0,0.6666666666666666
skewed_8,HEFT,1,141.904087535344,light,1.8119024379124937,0.408887056370053,0.0,0.6666666666666666
skewed_8,HEFT,1,145.332083654438,light,4.006977248467507,0.4137394106971014,0.0,0.5555555555555556
skewed_8,HEFT,1,167.98625065609883,light,3.5343738485895244,0.41194993322480344,0.0,0.6875
skewed_8,HEFT,1,213.91592014891984,light,3.197069630762769,0.44267470053590746,0.0,0.8181818181818182
skewed_8,HEFT,1,219.94089878439226,light,4.885134525201238,0.37822296719872683,0.0,0.5625
skewed_8,HEFT,1,228.271052663714,light,4.094849154729928,0.37845111932173714,0.0,0.7142857142857143
skewed_8,HEFT,1,237.18724379705148,light,2.0467155979533516,0.3795134932613739,0.0,0.38461538461538464
skewed_8,HEFT,1,238.69451753986417,light,3.6215662865324987,0.37915115631332896,0.0,0.4444444444444444
skewed_8,HEFT,1,269.23249483322235,light,4.491260226286329,0.3863474923955675,0.0,0.7333333333333333
skewed_8,HEFT,1,269.97351487544864,light,7.7036500443552995,0.006911592384884843,0.0,0.7142857142857143
skewed_8,HEFT,1,287.33567678555664,light,0.9166939359682829,0.02323101594632113,0.0,0.8333333333333334
skewed_8,HEFT,1,300.2639684740559,light,2.9817099185558504,0.05199698517725654,0.0,0.7857142857142857
skewed_8,HEFT,1,310.41843260987145,burst,9.692603025297274,0.0741021529494233,0.0,0.6428571428571429
skewed_8,HEFT,1,313.0653157241566,burst,19.23863059581896,0.07735024871831507,0.0,0.4444444444444444
skewed_8,HEFT,1,318.0732029977274,burst,21.609304821512808,0.012499476604241127,0.0,0.4666666666666667
skewed_8,HEFT,1,324.8741994921314,burst,18.655951610227135,0.011456024252686017,0.0,0.4
skewed_8,HEFT,1,330.46929332033966,burst,14.636858803531823,0.011548327484985068,0.0,0.5555555555555556
